Runs,Min,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
15*,13,11,2,0,136.36,3,not out,2,v England,Manchester,7 Sep 2016
55*,49,37,6,2,148.64,3,not out,2,v West Indies,Dubai (DICS),23 Sep 2016
19,-,18,2,0,105.55,3,caught,1,v West Indies,Dubai (DICS),24 Sep 2016
27*,42,24,1,0,112.50,3,not out,2,v West Indies,Abu Dhabi,27 Sep 2016
29,-,30,3,0,96.66,3,caught,2,v West Indies,Bridgetown,26 Mar 2017
27,-,28,4,0,96.42,3,caught,1,v West Indies,Port of Spain,30 Mar 2017
43,-,38,3,1,113.15,4,bowled,1,v West Indies,Port of Spain,1 Apr 2017
38,-,36,1,1,105.55,3,caught,2,v West Indies,Port of Spain,2 Apr 2017
86,-,52,10,2,165.38,3,caught,1,v World-XI,Lahore,12 Sep 2017
45,-,38,5,0,118.42,3,caught,1,v World-XI,Lahore,13 Sep 2017
48,-,31,5,0,154.83,3,caught,1,v World-XI,Lahore,15 Sep 2017
1,-,8,0,0,12.50,3,stumped,2,v Sri Lanka,Abu Dhabi,26 Oct 2017
1,-,2,0,0,50.00,3,lbw,2,v Sri Lanka,Abu Dhabi,27 Oct 2017
34*,-,31,2,0,109.67,3,not out,1,v Sri Lanka,Lahore,29 Oct 2017
41,68,41,1,1,100.00,5,caught,1,v New Zealand,Wellington,22 Jan 2018
50*,45,29,5,1,172.41,3,not out,1,v New Zealand,Auckland,25 Jan 2018
18,-,17,1,0,105.88,3,caught,1,v New Zealand,Mount Maunganui,28 Jan 2018
17,-,13,3,0,130.76,2,lbw,1,v West Indies,Karachi,1 Apr 2018
97*,-,58,13,1,167.24,2,not out,1,v West Indies,Karachi,2 Apr 2018
51,-,40,6,0,127.50,2,caught,2,v West Indies,Karachi,3 Apr 2018
68*,-,55,5,1,123.63,2,not out,1,v Australia,Abu Dhabi,24 Oct 2018
45,-,44,3,0,102.27,1,caught,1,v Australia,Dubai (DICS),26 Oct 2018
50,-,40,5,1,125.00,1,bowled,1,v Australia,Dubai (DICS),28 Oct 2018
7,-,9,1,0,77.77,1,caught,1,v New Zealand,Abu Dhabi,31 Oct 2018
40,-,41,4,0,97.56,2,caught,2,v New Zealand,Dubai (DICS),2 Nov 2018
79,66,58,7,2,136.20,2,caught,1,v New Zealand,Dubai (DICS),4 Nov 2018
38,55,27,3,1,140.74,2,run out,2,v South Africa,Cape Town,1 Feb 2019
90,78,58,13,1,155.17,1,caught,2,v South Africa,Johannesburg,3 Feb 2019
23,10,11,5,0,209.09,1,caught,1,v South Africa,Centurion,6 Feb 2019
65,-,42,5,3,154.76,2,run out,1,v England,Cardiff,5 May 2019
13,-,10,2,0,130.00,1,caught,2,v Sri Lanka,Lahore,5 Oct 2019
3,-,10,0,0,30.00,1,bowled,2,v Sri Lanka,Lahore,7 Oct 2019
27,-,32,1,0,84.37,2,caught,2,v Sri Lanka,Lahore,9 Oct 2019
59*,-,38,5,2,155.26,1,not out,1,v Australia,Sydney,3 Nov 2019
50,-,38,6,0,131.57,1,run out,1,v Australia,Canberra,5 Nov 2019
6,-,7,1,0,85.71,2,lbw,1,v Australia,Perth,8 Nov 2019
0,-,2,0,0,0.00,1,caught,2,v Bangladesh,Lahore,24 Jan 2020
66*,-,44,7,1,150.00,1,not out,2,v Bangladesh,Lahore,25 Jan 2020
56,55,44,7,0,127.27,1,caught,1,v England,Manchester,30 Aug 2020
21,19,18,3,0,116.66,1,bowled,1,v England,Manchester,1 Sep 2020
82,68,55,9,1,149.09,2,caught,2,v Zimbabwe,Rawalpindi,7 Nov 2020
51,48,28,8,1,182.14,2,caught,2,v Zimbabwe,Rawalpindi,8 Nov 2020
0,2,1,0,0,0.00,2,run out,1,v South Africa,Lahore,11 Feb 2021
5,6,4,1,0,125.00,2,lbw,1,v South Africa,Lahore,13 Feb 2021
44,40,30,5,1,146.66,3,bowled,2,v South Africa,Lahore,14 Feb 2021
14,23,14,3,0,100.00,2,caught,2,v South Africa,Johannesburg,10 Apr 2021
50,78,50,5,0,100.00,3,bowled,1,v South Africa,Johannesburg,12 Apr 2021
122,77,59,15,4,206.77,2,caught,2,v South Africa,Centurion,14 Apr 2021
24,49,23,3,0,104.34,2,caught,2,v South Africa,Centurion,16 Apr 2021
2,5,4,0,0,50.00,2,caught,1,v Zimbabwe,Harare,21 Apr 2021
41,60,45,5,0,91.11,2,caught,2,v Zimbabwe,Harare,23 Apr 2021
